,word,positive,negative
957,inside,27,30
958,brown,19,8
959,velvet,9,3
960,till,48,35
961,cousin,17,10
962,space,39,14
963,books,38,19
964,lie,19,35
965,certain,18,23
966,honey,16,20
967,learn,87,27
968,legend,17,8
969,human,28,40
970,nigga,17,31
971,"morning,",20,6
972,wedding,36,13
973,customers,15,13
974,sounds,129,54
975,la,61,35
976,3rd,33,11
977,ahead,38,14
978,btw,23,9
979,officially,23,30
980,semester,24,16
981,funny,64,82
982,beauty,49,14
983,played,49,37
984,tryna,22,26
985,death,19,43
986,cried,16,26
987,followers,29,24
988,forgot,30,50
989,married,22,15
990,local,47,18
991,ah,22,29
992,older,21,17
993,@jenariesqueen,14,0
994,extra,26,20
995,keeping,23,11
996,hehe,20,12
997,english,27,20
998,"here,",20,12
999,watched,32,57
1000,holy,13,14
1001,monthsary,11,0
1002,joined,17,6
1003,surprise,29,15
1004,spend,52,28
1005,allah,13,3
1006,series,39,33
1007,white,38,48
1008,knowing,21,46
1009,wild,27,9
1010,film,42,10
1011,upset,20,69
1012,j,21,19
1013,known,22,10
1014,mood,19,57
1015,9,33,18
1016,"man,",31,18
1017,meal,17,8
1018,lives,20,43
1019,pay,32,51
1020,against,29,37
1021,"also,",27,4
1022,"year,",23,10
1023,sing,22,18
1024,project,30,8
1025,knows,29,30
1026,endings,13,2
1027,spent,30,24
1028,sit,31,32
1029,@jeremiahbrent,13,0
1030,war,30,77
1031,spring,47,11
1032,course,43,31
1033,bb,18,26
1034,taylor,17,5
1035,what's,0,0
1036,less,47,41
1037,uwu,21,34
1038,dogs,29,29
1039,@beautychickee,10,2
1040,+,35,18
1041,bank,69,11
1042,vibes,13,6
1043,warm,23,6
1044,dragrace,15,0
1045,vote,20,23
1046,password,10,2
1047,absolutely,27,36
1048,walking,20,21
1049,marvel,17,13
1050,--,18,5
1051,busy,34,39
1052,playlist,22,40
1053,birth,14,7
1054,stand,25,17
1055,drake,17,15
1056,pics,36,30
1057,paul,13,9
1058,moments,23,16
1059,cup,17,14
1060,bud,17,9
1061,mate,16,17
1062,cheer,20,20
1063,email,16,6
1064,plan,32,14
1065,mantis,12,1
1066,ms,32,6
1067,hoping,20,42
1068,precious,13,34
1069,happ,10,2
1070,*,13,8
1071,sweetest,15,17
1072,reasons,19,20
1073,boss,35,12
1074,event,93,33
1075,wake,15,41
1076,youtube,24,24
1077,happens,22,39
1078,mark,28,17
1079,opening,34,11
1080,whos,20,14
1081,fr,20,23
1082,anyway,25,27
1083,sports,29,9
1084,order,21,28
1085,5th,27,6
1086,luke,18,12
1087,keeps,23,28
1088,aren't,0,0
1089,count,18,9
1090,ice,46,42
1091,john,20,21
1092,ugly,15,42
1093,worked,25,24
1094,pick,39,33
1095,miserable,15,11
1096,@hiro_mashima,14,0
1097,looked,29,46
1098,customer,16,9
1099,message,18,27
1100,w/,29,14
1101,wouldn't,0,0
1102,manager,18,13
1103,country,27,76
1104,tv,22,33
1105,drive,39,26
1106,cutest,16,28
1107,letting,25,19
1108,grandma,10,10
1109,code,24,11
1110,four,30,21
1111,/,29,26
1112,control,19,15
1113,you'd,0,0
1114,singing,20,18
1115,questions,25,17
1116,assist,9,0
1117,noticed,12,15
1118,wit,21,8
1119,raptors,13,4
1120,results,14,4
1121,walk,34,33
1122,himself,25,28
1123,likes,22,21
1124,works,20,20
1125,missing,32,90
1126,@ijessewilliams,10,2
1127,senior,30,17
1128,successful,18,3
1129,"way,",21,8
1130,cutie,17,15
1131,key,18,16
1132,husband,18,20
1133,online,65,28
1134,takes,30,23
1135,faces,21,11
1136,wear,35,26
1137,recent,14,10
1138,"yes,",24,13
1139,goals,22,2
1140,smart,28,17
1141,troye,12,7
1142,credit,15,11
1143,choice,15,17
1144,woke,17,47
1145,broken,23,41
1146,stream,63,52
1147,hopefully,27,39
1148,trust,25,17
1149,favourite,28,17
1150,annoying,20,35
1151,trip,58,19
1152,main,25,22
1153,bullet,13,1
1154,sks8,8,0
1155,apologize,13,7
1156,daddy,15,25
1157,lo,20,16
1158,simply,16,17
1159,"girl,",11,2
1160,added,36,25
1161,ladies,30,8
1162,arent,22,42
1163,followed,18,10
1164,11,21,11
1165,answer,22,24
1166,posting,19,18
1167,contact,18,12
1168,dancing,30,12
1169,travel,31,6
1170,band,22,53
1171,number,25,22
1172,teacher,26,20
1173,boyfriend,16,49
1174,dr,26,17
1175,"all,",21,7
1176,advance,11,3
1177,returns,14,3
1178,kill,17,30
1179,voice,19,30
1180,(and,40,9
1181,sense,38,23
1182,international,23,6
1183,surprised,21,37
1184,wi,24,12
1185,problem,31,37
1186,birthdayy,10,0
1187,line,36,21
1188,adorable,12,22
1189,fam,20,19
1190,bunch,28,25
1191,al,25,13
1192,sending,17,37
1193,along,49,25
1194,stage,22,11
1195,todays,19,10
1196,card,22,19
1197,possible,18,13
1198,skin,18,22
1199,park,62,15
1200,tried,33,64
1201,"do,",14,5
1202,gives,22,24
1203,comfortable,10,6
1204,jealous,19,24
1205,experience,67,31
1206,earth,20,16
1207,express,13,7
1208,"beautiful,",12,1
1209,pop,18,13
1210,died,12,66
1211,"time,",27,12
1212,rock,26,11
1213,"good,",20,6
1214,pure,20,9
1215,"hey,",28,5
1216,address,10,1
1217,se,17,18
1218,callie,8,2
1219,matters,17,8
1220,children,80,35
1221,matt,18,95
1222,fellow,17,6
1223,north,28,15
1224,wasn't,0,0
1225,camila,5,2
1226,report,15,10
1227,fave,15,12
1228,turns,17,20
1229,"thursday,",14,0
1230,stupid,34,60
1231,30,22,16
1232,honor,22,3
1233,jesus,21,6
1234,page,25,11
1235,track,23,19
1236,hand,72,28
1237,sweetie,15,8
1238,photos,29,20
1239,stuck,18,32
1240,loss,14,45
1241,list,27,18
1242,da,16,13
1243,calls,20,15
1244,showed,13,16
1245,who's,0,0
1246,player,20,31
1247,vacation,25,11
1248,child,27,38
1249,emotional,13,47
1250,app,76,19
1251,incredibly,15,29
1252,quote,24,9
1253,25,13,5
1254,thx,16,2
1255,clean,18,20
1256,friyay,18,0
1257,totally,26,49
1258,model,19,8
1259,service,22,14
1260,retirement,16,5
1261,ryan,12,9
1262,kno,12,8
1263,promise,17,24
1264,somebody,14,21
1265,friendship,12,6
1266,save,23,26
1267,@pigeon,9,0
1268,ex,15,18
1269,shows,33,48
1270,career,25,46
1271,state,30,71
1272,mrs,33,1
1273,we've,0,0
1274,saturday,55,10
1275,"said,",14,6
1276,legit,16,29
1277,throw,24,19
1278,stress,17,13
1279,youd,14,8
1280,meant,23,25
1281,details,19,4
1282,"again,",15,8
1283,@starwars,24,8
1284,set,55,25
1285,"this,",22,21
1286,emotions,11,13
1287,bout,21,20
1288,becoming,15,8
1289,animal,17,8
1290,sent,21,33
1291,youth,19,3
1292,round,22,17
1293,inspiring,17,0
1294,"say,",19,10
1295,although,22,12
1296,connect,18,2
1297,minutes,25,19
1298,"guys,",14,6
1299,bestfriend,9,8
1300,shinichi,11,0
1301,decide,17,10
1302,taken,20,25
1303,"friend,",14,6
1304,girlfriend,8,14
1305,goodnight,14,23
1306,ways,47,17
1307,"much,",17,7
1308,worried,13,22
1309,saved,10,10
1310,posted,19,18
1311,uncle,11,5
1312,harry,18,25
1313,helping,22,9
1314,brodie,9,0
1315,grade,44,8
1316,turning,14,6
1317,tickets,30,104
1318,american,22,33
1319,(happy,10,0
1320,17,16,14
1321,shot,23,20
1322,version,26,17
1323,minds,14,5
1324,@channel961,3,0
1325,feet,13,8
1326,freaking,14,20
1327,plans,37,30
1328,incredible,20,13
1329,challenge,42,4
1330,ahh,13,15
1331,piece,22,26
1332,realize,27,41
1333,mail,10,9
1334,telling,25,33
1335,fight,35,28
1336,cheers,18,4
1337,obviously,19,12
1338,ball,17,12
1339,derby,28,5
1340,moms,17,12
1341,blessing,8,0
1342,usually,31,36
1343,handsome,10,6
1344,angry,15,65
1345,shine,11,5
1346,learned,22,12
1347,flight,22,18
1348,father,17,15
1349,worldpressfreedomday,8,0
1350,sick,33,97
1351,decision,11,19
1352,putting,29,19
1353,filled,40,6
1354,canada,13,11
1355,16,15,11
1356,classes,28,6
1357,deal,24,33
1358,lunch,36,11
1359,22,18,5
1360,press,18,11
1361,absolute,13,13
1362,losing,16,37
1363,beat,29,35
1364,sucks,22,89
1365,random,23,15
1366,general,17,17
1367,soft,17,70
1368,21,15,11
1369,happy,10881,364
1370,harvey,3,140
1371,mets,3,79
1372,@bibibou1311,0,82
1373,@nicolepfeifer84,1,81
1374,truth,16,76
1375,@meli_hai,1,77
1376,@fee878,0,80
1377,@rosepeetal,1,78
1378,@nikkiebaer47,0,73
1379,@joalex_tweet,1,69
1380,@balldred,1,68
1381,leaving,12,101
1382,@mairyleo,1,65
1383,@randomfingirl,1,57
1384,poor,18,135
1385,lonely,8,74
1386,men,23,49
1387,@foxnews,12,46
1388,smh,14,52
1389,pathetic,7,49
1390,@stormydaniels,10,53
1391,rip,15,75
1392,reality,16,46
1393,president,15,42
1394,infinity,11,61
1395,@potus,13,37
1396,rich,6,43
1397,:/,13,51
1398,nra,8,36
1399,broke,14,78
1400,players,29,40
1401,dark,27,51
1402,feelings,16,53
1403,lies,7,30
1404,"is,",15,27
1405,nobody,22,56
1406,:((,5,1077
1407,case,18,47
1408,@cnn,8,30
1409,@nra,12,30
1410,united,11,25
1411,@kanyewest,6,30
1412,couldn't,0,0
1413,indeed,17,34
1414,fast,26,52
1415,ended,21,41
1416,word,23,35
1417,situation,10,29
1418,killed,12,33
1419,attention,15,36
1420,low,25,38
1421,history,24,28
1422,hella,17,35
1423,act,20,28
1424,@cliffavril,0,25
1425,worse,12,45
1426,@therealroseanne,6,27
1427,terrible,13,35
1428,dumb,27,34
1429,@manutd,1,25
1430,@laurenjauregui,0,22
1431,supposed,23,54
1432,excuse,6,25
